Date,Value
1998-07-31,42.6118
1998-06-30,42.3668
1998-05-31,40.4687
1998-04-30,39.7029
1998-03-31,39.5686
1998-02-28,39.0079
1998-01-31,39.391
1997-12-31,39.4
1997-11-30,37.2889
1997-10-31,36.302
1997-09-30,36.4756
1997-08-31,36.0085
1997-07-31,35.7474
1997-06-30,35.8202
1997-05-31,35.8248
1997-04-30,35.8281
1997-03-31,35.8848
1997-02-28,35.8905
1997-01-31,35.9037
1996-12-31,35.8815
1996-11-30,35.8392
1996-10-31,35.8036
1996-09-30,35.87
1996-08-31,35.8
1996-07-31,35.6673
1996-06-30,35.0995
1996-05-31,35.025
1996-04-30,34.3195
1996-03-31,34.4852
1996-02-29,36.5945
1996-01-31,35.8117
1995-12-31,34.9663
1995-11-30,34.71
1995-10-31,34.6564
1995-09-30,33.3098
1995-08-31,31.5923
1995-07-31,31.3853
1995-06-30,31.4037
1995-05-31,31.4179
1995-04-30,31.4073
1995-03-31,31.5865
1995-02-28,31.3795
1995-01-31,31.3736
1994-12-31,31.3894
1994-11-30,31.394
1994-10-31,31.3726
1994-09-30,31.3723
1994-08-31,31.3727
1994-07-31,31.3764
1994-06-30,31.3845
1994-05-31,31.3754
1994-04-30,31.3914
1994-03-31,31.4147
1994-02-28,31.4489
1994-01-31,31.44
1993-12-31,31.44
1993-11-30,31.4335
1993-10-31,31.505
1993-09-30,31.5776
1993-08-31,31.6123
1993-07-31,31.6
1993-06-30,31.6682
1993-05-31,31.6125
1993-04-30,31.6095
1993-03-31,31.9391
1993-02-28,30.0421
1993-01-31,29.0432
1992-12-31,28.9786
1992-11-30,28.4737
1992-10-31,28.4767
1992-09-30,28.4757
1992-08-31,28.4635
1992-07-31,28.5639
1992-06-30,28.5186
1992-05-31,28.5415
1992-04-30,28.8962
1992-03-31,28.3777
1992-02-29,25.9921
1992-01-31,25.8629
1991-12-31,25.818
1991-11-30,25.8021
1991-10-31,25.7973
1991-09-30,25.8335
1991-08-31,25.8457
1991-07-31,25.6127
1991-06-30,21.062
1991-05-31,20.5186
1991-04-30,19.9064
1991-03-31,19.2429
1991-02-28,18.86
1991-01-31,18.339
1990-12-31,18.1272
1990-11-30,18.0975
1990-10-31,18.0736
1990-09-30,17.8595
1990-08-31,17.3465
1990-07-31,17.4119
1990-06-30,17.421
1990-05-31,17.3245
1990-04-30,17.2943
1990-03-31,17.1164
1990-02-28,16.9895
1990-01-31,16.9633
1989-12-31,16.932
1989-11-30,16.9248
1989-10-31,16.819
1989-09-30,16.745
1989-08-31,16.6091
1989-07-31,16.416
1989-06-30,16.4195
1989-05-31,16.1018
1989-04-30,15.718
1989-03-31,15.4674
1989-02-28,15.2405
1989-01-31,15.0925
1988-12-31,15.019
1988-11-30,14.966
1988-10-31,14.72
1988-09-30,14.4895
1988-08-31,14.217
1988-07-31,14.0795
1988-06-30,13.7859
1988-05-31,13.3157
1988-04-30,13.1576
1988-03-31,12.9791
1988-02-29,13.065
1988-01-31,13.0395
1987-12-31,12.9345
1987-11-30,12.9721
1987-10-31,13.0429
1987-09-30,12.9933
1987-08-31,13.0852
1987-07-31,13.0126
1987-06-30,12.8368
1987-05-31,12.666
1987-04-30,12.8145
1987-03-31,12.9236
1987-02-28,13.0621
1987-01-31,13.0295
1986-12-31,13.1486
1986-11-30,13.0761
1986-10-31,12.8486
1986-09-30,12.6757
1986-08-31,12.5667
1986-07-31,12.5077
1986-06-30,12.5986
1986-05-31,12.4657
1986-04-30,12.3932
1986-03-31,12.289
1986-02-28,12.37
1986-01-31,12.2433
1985-12-31,12.1524
1985-11-30,12.1011
1985-10-31,12.0332
1985-09-30,12.1255
1985-08-31,11.8977
1985-07-31,12.0314
1985-06-30,12.4405
1985-05-31,12.5005
1985-04-30,12.4005
1985-03-31,12.8614
1985-02-28,12.9217
1985-01-31,12.6119
1984-12-31,12.2925
1984-11-30,12.0784
1984-10-31,12.0268
1984-09-30,11.8584
1984-08-31,11.5561
1984-07-31,11.3714
1984-06-30,11.0638
1984-05-31,11.0168
